label,translated_clean_data,cleaned_text
neg,In the beginning of the end peaceful Chhatra League tried to take violence in non -violent move by showing the ugly look,beginning end peaceful chhatra league tried take violence non violent move showing ugly look
ntr,No comment,comment
ntr,Honorable Minister is the number of criminals in my country going toward the danger limits of danger,honorable minister number criminals country going toward danger limits danger
ntr,Parents MP's son's plan was to go abroad a lot of family money sisters' friend.,parents mps sons plan go abroad lot family money sisters friend
neg,The kind of brutality government that is not to the students is not to the students where the basic rights are the basic right to put the tiger in fundamental rights to the basic rights,kind brutality government students students basic rights basic right put tiger fundamental rights basic rights
pos,Your smile is awesome you are definitely unique,smile awesome definitely unique
neg,Creaters of Bangla language soldiers can speak in Bangla language as the soldiers who created the language as the great God of the language.,creaters bangla language soldiers speak bangla language soldiers created language great god language
neg,This is a negative example text.,negative example text
neg,Expelled Barsa vs. PSG match referee,expelled barsa vs psg match referee
ntr,"Masarafi is not popular, how popular people are loved today in the madness of a mad spectator today, during the game, the ordinary gallery ran in the middle of the field and hugged Masarafi so hard security.It is not at all, but to get a great deal of education",masarafi popular popular people loved today madness mad spectator today game ordinary gallery ran middle field hugged masarafi hard securityit get great deal education
neg,"Said the picture of the number all day walks in the forest, but the name of the fruits and flowers did not know the name of the jungle kamranga and flowers.",said picture number day walks forest name fruits flowers know name jungle kamranga flowers
pos,More than the club,club
pos,Better is better brother,better better brother
pos,"When the booth free money came out, the mind would be good to say that the money would be spent as it was.",booth free money came mind would good say money would spent
pos,SubhanAllah,subhanallah
pos,It is nice to hear the song now,nice hear song
pos,Many nice pictures,many nice pictures
pos,Thanks the heroes,thanks heroes
neg,Bangladesh has got the killing of innocent people on the border and Bangladesh has got the motto of the people created by the people of Farakka.,bangladesh got killing innocent people border bangladesh got motto people created people farakka
pos,Haircut,haircut
ntr,This is mebiniesta Busie Rakitich and Gomez Midy Start,mebiniesta busie rakitich gomez midy start
neg,This is a negative example text.,negative example text
neg,"Many colors can be mixed with oil, they are not Shuchhikon Experiach, exchanging some exchanges.",many colors mixed oil shuchhikon experiach exchanging exchanges
ntr,Another thing to change the party selectors now claim that they can not say beautiful words.,another thing change party selectors claim say beautiful words
pos,Hope and national team play in the national team but today and the world is giving up the boy in our area,hope national team play national team today world giving boy area
neg,Avra is not the problem with MS Afs,avra problem ms afs
neg,If you are giving the money or like the leaders,giving money like leaders
neg,Extra IPL plays the bar of South Africa,extra ipl plays bar south africa
neg,Atheist,atheist
pos,The mind wants to hear repeatedly listening to the extraordinary song,mind wants hear repeatedly listening extraordinary song
neg,This is a negative example text.,negative example text
pos,Pretty post,pretty post
neg,Saying Ram goat,saying ram goat
pos,Feeling proud of as a Bangladeshi,feeling proud bangladeshi
pos,"Alhamdulillah congrats on Satkhira Basi's arrogance of Bengal Tiger the Fis many wishes and endless good wishes, good luck.",alhamdulillah congrats satkhira basis arrogance bengal tiger fis many wishes endless good wishes good luck
pos,Awesome song thanks,awesome song thanks
pos,I saw the picture,saw picture
pos,Thanks to the Prothom-alo,thanks prothomalo
ntr,This is a neutral example text.,neutral example text
neg,The truth is that there is a lot of human beings to laugh and it is not to do politics,truth lot human beings laugh politics
pos,I had fun,fun
neg,"If you are only left of them, then before these stories are left, about half a million Arakan people who have forcibly pushed the weapons to the Bangladesh terrain, explain to the disadvantaged people in the corner of the disadvantaged people.",left stories left half million arakan people forcibly pushed weapons bangladesh terrain explain disadvantaged people corner disadvantaged people
pos,"♥ ♠ Taskin Ahmed and Arafat Sunny's bowling action fault Alhamdulillah will now be able to force two international matches in the World Cup, if the Randians do not exclude Taskinsnas in the World Cup, they could not win against Bangladesh and the second would not be up.",taskin ahmed arafat sunnys bowling action fault alhamdulillah able force two international matches world cup randians exclude taskinsnas world cup could win bangladesh second would
ntr,Bengal,bengal
neg,Settle a little more goods be drunk,settle little goods drunk
neg,It is not the registration of the offender number.,registration offender number
neg,Students will not VAT VAT Wow Wow Wow Beautiful Bani NBR This way the university administration will not give the Student the Student will take the semester.,students vat vat wow wow wow beautiful bani nbr way university administration give student student take semester
neg,"Madam Tarana Halim says that the fingerprint is not saved Tarana Halim has taken IT degree, but you will not know that SIM companies have to be submitted to the server, but the Airtel intelligence agency has given information to the Airtel intelligence agency ""R"" fingerprint to CIA.It is not surprising at all when someone's fault falls on the neck…",madam tarana halim says fingerprint saved tarana halim taken degree know sim companies submitted server airtel intelligence agency given information airtel intelligence agency r fingerprint ciait surprising someones fault falls neck
neg,This is a negative example text.,negative example text
pos,"When I was listening to the name of Mia Khalifa in my first life, I was wondering that the religious women of the big country may see human dear Johnny Bhai partner Mia Khalifa Afa'i to match the book and serve the people.",listening name mia khalifa first life wondering religious women big country may see human dear johnny bhai partner mia khalifa afai match book serve people
neg,Election Commission is independent,election commission independent
pos,Nun,nun
neg,BBC's electoral president is more responsible for losing Bangladesh,bbcs electoral president responsible losing bangladesh
neg,"Well written in the post, Capitalism and General Zia always wrote Lelin Stalin Stalin Stalin Lalin's followers killed the enemy of Lelin. Millions of people have killed millions of capitalism problems.The problem is not known to the state of North Korea that is properly maintained",well written post capitalism general zia always wrote lelin stalin stalin stalin lalins followers killed enemy lelin millions people killed millions capitalism problemsthe problem known state north korea properly maintained
neg,False service companies' nets are not good,false service companies nets good
neg,"Madrid was in the place, but he would say that he was one",madrid place would say one
neg,"Imrul Kayes, a donkey player, can not bat or batting cannot say no better player is reading the selectors in their eyes.",imrul kayes donkey player bat batting say better player reading selectors eyes
pos,"Brother, the mind became better after reading the writing",brother mind became better reading writing
neg,Luichara like the first light is still an intellectual interview in Abal goat,luichara like first light still intellectual interview abal goat
ntr,It would have been better to sing the three -four -hour line on the table,would better sing three four hour line table
pos,Thanks to Professor Yunus Yunus Center the truths come to the fore,thanks professor yunus yunus center truths come fore
neg,Bangladeshi magazine is possible,bangladeshi magazine possible
neg,Country,country
ntr,"If you do not see how many people are less than the age of the girl in the ghost to be happy, the police will give up the police.",see many people less age girl ghost happy police give police
neg,Listening to the boy who loves the animals of the beasts are harassing them,listening boy loves animals beasts harassing
